"VCS_block","VCS_COUNT","VCS_MED_ADJ_SALES_PRICE","VCS_MED_ADJ_SALES_RATIO","VCS_PERCENT_ASIAN","VCS_PERCENT_BLACK","VCS_PERCENT_HISPANIC","VCS_PERCENT_WHITE","VCS_DISPLAY_MED_SALES_RATIO"
"R834C",43,378304.239401496,0.493968225860341,3.907563025,82.10084034,4.663865546,9.327731092,0.541298196948682
"R834D",12,253645.305622143,0.494942578847822,3.60254111066667,78.56845288,6.64072522333333,10.07087443,0.555162546177892
"R834E",62,360424.886191199,0.509498236205572,0,61.07544141,3.451043339,28.81219904,0.541937161022447
"R834F",23,397094.430992736,0.529204097560976,2.502606882,30.03128259,0,60.58394161,0.5616875
"R835A",10,428664.64339909,0.578207730086888,5.836065574,5.31147541,13.7704918,65.37704918,0.621793041794865
"R835B",50,334265.083570014,0.529328491646598,7.17348702664,15.2351992348,5.783606556,66.7681379598,0.571950461538462
"R835C",31,403865.336658354,0.56796379403794,3.25532336083871,24.449390646129,3.10946589032258,61.6662562225806,0.607464242424242
"R836B",9,306100.151745068,0.583249089730161,4.65185086666667,12.6447828811111,13.99525968,60.4273600911111,0.60384
"R837A",7,330000,0.56846460777851,0,23.58870968,0,76.41129032,0.679649230769231
"R837D",6,365808.390645662,0.529095135484286,0,22.42365151,0,77.57634849,0.569013659818442
"R838A",31,525000,0.610217333333333,0,16.59836066,0,83.40163934,0.655911304347826
"R840A",87,302784.503631961,0.525227580158948,3.3343714927931,28.6733864954023,8.07957143041379,53.5240517017241,0.541748
"R840B",80,271144.995535829,0.47559371641791,0,17.76788891125,67.8235256271,13.821788399025,0.481127754990429
"R840C",57,440000,0.574110914778981,10.56625803,36.31056626,13.25160537,39.87157034,0.6021125
"R840D",31,334719.271623672,0.525587878787879,0,70.51993942,8.480565371,4.745078243,0.55054
"R840E",15,261305.007587253,0.48087109864019,0,23.2528695613333,59.8684354361333,13.2030005877333,0.524136
"R840F",17,299064.837905237,0.569547763477635,1.166827387,42.0241568329412,38.7708579982353,16.0448836094118,0.608173207036536
"R840G",32,315194.316939064,0.510639088731811,2.54636860103125,71.8519372140625,13.3655777447188,9.16130551115625,0.5611139392269
"R840H",49,552119.70074813,0.670087365370683,12.37263464,35.95342067,6.877729258,41.81222707,0.715420408163265
"R840I",92,492397.094430993,0.667376446489713,12.37263464,35.95342067,6.877729258,41.81222707,0.662528675691967
"R840J",58,526302.992518703,0.696189836251212,4.281891169,21.67707404,2.943800178,61.46297948,0.809819063922985
"R840K",8,378619.85472155,0.737848734920106,0,17.02786378,73.06501548,9.907120743,0.755504957028852
"R840L",7,435000,0.529897353756546,0,26.89486553,3.178484108,62.10268949,0.547410869565217
"R840M",42,452687.032418953,0.882688290607274,0,21.01865136,0,72.30989957,0.974970733863837
"R840N",50,458500,0.765280841706367,10.56625803,36.31056626,13.25160537,39.87157034,0.762784669956667
"R840S",83,480484.261501211,0.872948595975321,12.37263464,35.95342067,6.877729258,41.81222707,0.86660756501182
"R841A",27,392130.750605327,0.558885422410746,1.803278689,56.2295082,22.95081967,16.8852459,0.571428985507246
"R841B",15,283922.518159806,0.5666140117746,2.685421995,72.97527707,12.87297528,8.780903666,0.583166037735849
"R841C",7,336537.530266344,0.538438209059233,2.685421995,72.97527707,12.87297528,8.780903666,0.562743333333333
"R841D",133,262256.857855362,0.530574545454545,0.585543141766918,44.6217041189474,38.216231552406,12.2887879661955,0.58365
"R841E",32,218811.52581369,0.480190442937392,2.685421995,72.97527707,12.87297528,8.780903666,0.499889128935877
"R841F",7,287893.462469734,0.531525055432372,0,41.45818442,41.02930665,8.43459614,0.544648117839607
"R841G",7,273748.103186646,0.606324654832347,0,49.94011976,14.25149701,35.80838323,0.691045454545455
"R841H",36,297324.455205811,0.576419787992495,0,37.7058182908333,43.7804104120556,14.3640779088889,0.595006326530612
